"Entity ID","Individual Test Solutions","Remote Testing","Adaptive/IRT","Test Type","Description","Job Levels","Languages","Assessment Length","Fact Sheet Link","Sample Report Link"
"4188","Accounts Receivable Simulation (New)","Yes","No","S","Simulated data entry test that measures the ability to process receivables and invoices.","Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),","Approximate Completion Time in minutes = 8","https://service.shl.com/docs/Accounts%20Receivable%20Simulation%20(New).pdf","https://service.shl.com/docs/Accounts%20Receivable%20Simulation%20(New)%20Sample%20Report.pdf"
"4168","ADO.NET (New)","Yes","No","K","Multi-choice test that measures the knowledge on the concepts of ADO.NET architecture, components and data provider objects.","Mid-Professional, Professional Individual Contributor,","English (USA),","Approximate Completion Time in minutes = 10","https://service.shl.com/docs/ADO.NET%20(New).pdf","N/A"
"4019","Adobe Experience Manager (New)","Yes","No","K","Multi-choice test that measures the knowledge of AEM components, templates, workflows, AEM collections, OSGi services and troubleshooting of AEM projects.","Mid-Professional, Professional Individual Contributor,","English (USA),","Approximate Completion Time in minutes = 17","https://service.shl.com/docs/Adobe%20Experience%20Manager%20(New).pdf","N/A"
"3778","Adobe Photoshop CC","Yes","Yes","K","The Adobe Photoshop CC test measures knowledge of Adobe Photoshop CC. Designed for experienced users, this test covers the following topics: 3D, Color, File Management, Interface, Layers, Painting and Drawing, Retouch and Enhancements, Selection, Text, and Web.","Mid-Professional, Professional Individual Contributor,","English (USA),","Approximate Completion Time in minutes = 20","https://service.shl.com/docs/Fact_Sheet-adobe_photoshop_cc.pdf","N/A"
"4069","Aeronautical Engineering (New)","Yes","No","K","Multi-choice test that measures the knowledge of flight mechanics, space dynamics, aerodynamics, structures and propulsion.","Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),","Approximate Completion Time in minutes = 10","https://service.shl.com/docs/Aeronautical%20Engineering%20(New).pdf","https://service.shl.com/docs/SHL%20Aeronautical%20Engineering%20(New)%20Sample%20Report.pdf"
"4004","Aerospace Engineering (New)","Yes","No","K","Multi-choice test that measures the conceptual knowledge of aerodynamics, aircraft systems and instrumentation, flight dynamics, space dynamics and avionics.","Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),","Approximate Completion Time in minutes = 10","https://service.shl.com/docs/Aerospace%20Engineering%20(New).pdf","https://service.shl.com/docs/SHL%20Aerospace%20Engineering%20(New)%20Sample%20Report.pdf"
"4223","Agile Software Development","Yes","No","K","Multi-choice test that measures the knowledge of agile methodology, scrum, feature driven software development, incremental and iterative development and processes involved in agile software development.","Graduate,","English (USA),","Approximate Completion Time in minutes = 7 minutes","N/A","https://service.shl.com/docs/sample_report.pdf"
"4159","Agile Testing (New)","Yes","No","K","Multi-choice test that measures the knowledge of tools, techniques and processes involved in the Agile testing methodology.","Mid-Professional, Professional Individual Contributor,","English (USA),","Approximate Completion Time in minutes = 13","https://service.shl.com/docs/Agile%20Testing%20(New).pdf","N/A"
"4311","AI Skills","Yes","No","P","The AI Skills assessment measures the skills that help candidates successfully leverage AI in their work.","General Population,","English (USA),","Approximate Completion Time in minutes = 16","N/A","https://service.shl.com/docs/Sample_Candidate_sample.candidate@shl931.com_AISkillsCandidateReport_1572760.pdf"
"4028","Amazon Web Services (AWS) Development (New)","Yes","No","K","Multi-choice test that measures the knowledge of AWS delivery process, monitoring, metrics, logging, security, validation and scalability.","Mid-Professional, Professional Individual Contributor,","English (USA),","Approximate Completion Time in minutes = 6","https://service.shl.com/docs/Amazon%20Web%20Services%20(AWS)%20Development%20(New).pdf","N/A"
"4160","Android Development (New)","Yes","No","K","Multi-choice test that measures the knowledge of UI components for an Android device, services and alerts, animation and media apps, application components, security and testing.","Mid-Professional, Professional Individual Contributor,","English (USA),","Approximate Completion Time in minutes = 7","https://service.shl.com/docs/Android%20Development%20(New).pdf","N/A"
"4153","Angular 6 (New)","Yes","No","K","Multi-choice test that measures the knowledge of the basic components and modules of Angular 6 and concepts like data binding, dependency injection, CRUD with HTTP, typescript, routing and navigation.","Mid-Professional, Professional Individual Contributor,","English (USA),","Approximate Completion Time in minutes = 11","https://service.shl.com/docs/Angular%206%20(New).pdf","N/A"
"4021","AngularJS (New)","Yes","No","K","Multi-choice test that measures the knowledge of AngularJS architecture, forms, directives, filters, controllers, routing and testing.","Mid-Professional, Professional Individual Contributor,","English (USA),","Approximate Completion Time in minutes = 9","https://service.shl.com/docs/AngularJS%20(New).pdf","N/A"
"4030","Apache Hadoop (New)","Yes","No","K","Multi-choice test that measures the knowledge of basic concepts of Hadoop, commands, HDFS and MapReduce.","Mid-Professional, Professional Individual Contributor,","English (USA),","Approximate Completion Time in minutes = 7","https://service.shl.com/docs/Apache%20Hadoop%20(New).pdf","N/A"
"4011","Apache Hadoop Extensions (New)","Yes","No","K","Multi-choice test that measures the conceptual knowledge of Pig, Hive and HBase.","Mid-Professional, Professional Individual Contributor,","English (USA),","Approximate Completion Time in minutes = 9","https://service.shl.com/docs/Apache%20Hadoop%20Extensions%20(New).pdf","N/A"
"4073","Apache HBase (New)","Yes","No","K","Multi-choice test that measures the knowledge of HBase concepts such as CAP theorem, ACID properties, HBase client API, MapReduce integration, configuration and administration.","Mid-Professional, Professional Individual Contributor,","English (USA),","Approximate Completion Time in minutes = 5","https://service.shl.com/docs/Apache%20HBase%20(New).pdf","N/A"
"4075","Apache Hive (New)","Yes","No","K","Multi-choice test that measures the knowledge of Hive architecture, datatypes, built-in functions, configurations, partitioning, bucketing and commands of Hive query language.","Mid-Professional, Professional Individual Contributor,","English (USA),","Approximate Completion Time in minutes = 5","https://service.shl.com/docs/Apache%20Hive%20(New).pdf","N/A"
"4022","Apache Kafka (New)","Yes","No","K","Multi-choice test that measures the knowledge of Apache Kafka architecture, components, clusters, performance tuning and advanced operations.","Mid-Professional, Professional Individual Contributor,","English (USA),","Approximate Completion Time in minutes = 6","https://service.shl.com/docs/Apache%20Kafka%20(New).pdf","N/A"
"4115","Apache Pig (New)","Yes","No","K","Multi-choice test that measures the knowledge of Pig architecture, built-in operators, built-in functions and commands in PigLatin.","Mid-Professional, Professional Individual Contributor,","English (USA),","Approximate Completion Time in minutes = 6","https://service.shl.com/docs/Apache%20Pig%20(New).pdf","N/A"
"4023","Apache Spark (New)","Yes","No","K","Multi-choice test that measures the knowledge of Apache Spark principles, RDD operations - actions and transformations, lineage graphs and lazy evaluation.","Mid-Professional, Professional Individual Contributor,","English (USA),","Approximate Completion Time in minutes = 8","https://service.shl.com/docs/Apache%20Spark%20(New).pdf","N/A"
"4017","ASP .NET with C# (New)","Yes","No","K","Multi-choice test that measures the knowledge of .NET framework and controls, C# fundamentals, OOPs concepts and advanced topics such as data access components, state management and security services.","Mid-Professional, Professional Individual Contributor,","English (USA),","Approximate Completion Time in minutes = 13","https://service.shl.com/docs/ASP.NET%20with%20C%20Sharp%20(New).pdf","N/A"
"3786","ASP.NET 4.5","Yes","Yes","K","The ASP.NET 4.5 test measures knowledge of programming in the ASP.NET environment. Designed for experienced developers, but an average performer in this role should pass this test. This test includes the following topics: .NET Framework, Client-Side Programming, Data Access, Enhanced Runtime Features, Portals, Services and Mobile, Security, Troubleshooting and Optimization, Web Applications, and Web Forms.","Mid-Professional, Professional Individual Contributor,","English (USA),","Approximate Completion Time in minutes = 30","https://service.shl.com/docs/Fact_Sheet-asp.net_4.5.pdf","N/A"
"4219","Assessment and Development Center Exercises","Yes","No","E","SHL offers a comprehensive range of Assessment and Development Centre exercise in digital format, for remote assessment through our Virtual Assessment and Development Centre platform. We offer a wide range of exercise types including group exercise, role plays, analysis presentations and written exercises. Exercises are available across a wide range of job levels and industry contexts. Contact SHL to find out more.","Director, Entry-Level, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,","English International, English (USA),","Approximate Completion Time in minutes = Variable","N/A","N/A"
"3980","Automata - Fix (New)","Yes","No","S","A simulated compiler integrated test to measure debugging skills in C, C++ and Java. The test checks the ability to fix logical or syntactical errors and to reuse an existing code. Your use of this assessment product may be subject to New York City Law 144 (Regulation of the Use of Automated Employment Decision Tools) (dated July 5, 2023). Compliance with Law 144 is your responsibility. Read more on https://www.shl.com/legal/shl-us-regulatory-compliance/","Mid-Professional,","English (USA),","Approximate Completion Time in minutes = max 20","https://service.shl.com/docs/Automata%20Fix.pdf","https://service.shl.com/docs/Automata%20Fix%20Sample%20Report.pdf"
"3981","Automata - SQL (New)","Yes","No","S","A simulated query writing test that measures the ability to write SQL queries to perform DDL, DML and DCL tasks.","Mid-Professional, Professional Individual Contributor,","English (USA),","Approximate Completion Time in minutes = max 30","https://service.shl.com/docs/Automata%20-%20SQL.pdf","https://service.shl.com/docs/Automata%20SQL%20Sample%20Report.pdf"
"3984","Automata (New)","Yes","No","S","An AI-powered coding simulation assessment that evaluates candidate’s programming ability. Offers a familiar IDE environment available in over 40 different programming languages and tests candidates using real-world coding problems. Your use of this assessment product may be subject to New York City Law 144 (Regulation of the Use of Automated Employment Decision Tools) (dated July 5, 2023). Compliance with Law 144 is your responsibility. Read more on https://www.shl.com/legal/shl-us-regulatory-compliance/","Mid-Professional, Professional Individual Contributor,","English (USA),","Approximate Completion Time in minutes = max 45","https://service.shl.com/docs/Automata%20(New).pdf","https://service.shl.com/docs/Automata%20Sample%20Detailed%20Report.pdf"
"3982","Automata Data Science (New)","Yes","No","S","A simulated test that measures the ability to analyze and modify data using machine learning algorithms to obtain desirable results.","Mid-Professional, Professional Individual Contributor,","English (USA),","Approximate Completion Time in minutes = max 60","https://service.shl.com/docs/Automata%20Data%20Science.pdf","https://service.shl.com/docs/Automata%20Data%20Science%20Sample%20Report.pdf"
"3983","Automata Data Science Pro (New)","Yes","No","S","A simulated test that measures the ability to analyze and modify data using machine learning algorithms to obtain desirable results.","Professional Individual Contributor, Mid-Professional,","English (USA),","Approximate Completion Time in minutes = max 60","https://service.shl.com/docs/Automata%20Data%20Science%20Pro.pdf","https://service.shl.com/docs/Automata%20Data%20Science%20Pro%20Sample%20Report.pdf"
"4222","Automata Front End","Yes","No","S","Simulation based test that measures the front-end development capabilities using HTML, CSS, and JavaScript. The candidate is provided with 3 different sections to code in HTML, CSS and JavaScript respectively and a separate output section to view the output. This simulation is then manually scored.","Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor, Manager,","English (USA),","Approximate Completion Time in minutes = 30 minutes","https://service.shl.com/docs/Automata%20Frontend.pdf","https://service.shl.com/docs/Automata%20Front%20End%20Sample%20Detailed%20Report.pdf"
"3985","Automata Pro (New)","Yes","No","S","An AI-powered coding simulation assessment that evaluates candidate’s programming ability. Offers a familiar IDE environment available in over 40 different programming languages and tests candidates using real-world coding problems. Your use of this assessment product may be subject to New York City Law 144 (Regulation of the Use of Automated Employment Decision Tools) (dated July 5, 2023). Compliance with Law 144 is your responsibility. Read more on https://www.shl.com/legal/shl-us-regulatory-compliance/","Mid-Professional, Professional Individual Contributor,","English (USA),","Approximate Completion Time in minutes = max 60","https://service.shl.com/docs/Automata%20Pro.pdf","https://service.shl.com/docs/Automata%20Pro%20Sample%20Report.pdf"
"4229","Automata Selenium","Yes","No","S","A coding simulation assessment that evaluates the ability to conduct tasks related to automation testing using Selenium scripts.","Entry-Level, Graduate, Manager, Mid-Professional, Professional Individual Contributor,","English (USA),","Approximate Completion Time in minutes = 60","https://service.shl.com/docs/Automata%20Selenium%20(1)%20(1).pdf","https://service.shl.com/docs/Automata%20Selenium%20Sample%20Report.pdf"
"4026","Automation Anywhere RPA Development (New)","Yes","No","K","Multi-choice test that measures the knowledge of Automation Anywhere dash board and task editor, control room, key commands, bots and Automation Anywhere client.","Mid-Professional, Professional Individual Contributor,","English (USA),","Approximate Completion Time in minutes = 8","https://service.shl.com/docs/Automation%20Anywhere%20RPA%20Development%20(New).pdf","N/A"
"4025","Automotive Engineering (New)","Yes","No","K","Multi-choice test that measures the knowledge of auto engine classification, engine fuel system, auto-vehicle technology, maintenance, inspection and troubleshooting.","Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),","Approximate Completion Time in minutes = 13","https://service.shl.com/docs/Automotive%20Engineering%20(New).pdf","https://service.shl.com/docs/SHL%20Automotive%20Engineering%20(New)%20Sample%20Report.pdf"
"3988","Basic Biology (New)","Yes","No","K","Multi choice test that measures the candidate's basic understanding of Biology.","Professional Individual Contributor, Graduate, Mid-Professional,","English (USA),","Approximate Completion Time in minutes = 6","https://service.shl.com/docs/Basic%20Biology%20(New).pdf","N/A"
"4206","Basic Computer Literacy (Windows 10) (New)","Yes","No","S, K","The Basic Computer Literacy (Windows 10) simulation measures knowledge of general computer terminology, processes, and applications and the ability to perform certain operations in a simulated environment resembling the actual application. This simulation consists of both multiple choice and simulation-based questions, and includes the following topics: Application Software, Computer Terms, Internet and Email, Managing Files, Operating System, and Parts of the Computer.","Entry-Level,","English (USA),","Approximate Completion Time in minutes = 30","https://service.shl.com/docs/Basic%20Computer%20Literacy%20(Windows%2010).pdf","N/A"
"4149","Basic Statistics (New)","Yes","No","K","Multi-choice test that measures the knowledge of statistical methods, exploratory analysis, basics of probability, standard distributions and statistical testing.","Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),","Approximate Completion Time in minutes = 10","https://service.shl.com/docs/Basic%20Statistics%20(New).pdf","N/A"
"4161","Biochemistry (New)","Yes","No","K","Multi-choice test that measures the knowledge of various bio-molecules like amino acids, proteins, enzymes, carbohydrates, vitamins and nucleic acids, and concepts of bioenergetics and metabolism.","Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),","Approximate Completion Time in minutes = 8","https://service.shl.com/docs/Biochemistry%20(New).pdf","N/A"
"4036","Biotech Lab Techniques (New)","Yes","No","K","Multi-choice test that measures the knowledge of biophysical techniques, bio-processing and separation techniques like chromatography and electrophoresis.","Graduate, Professional Individual Contributor, Mid-Professional,","English (USA),","Approximate Completion Time in minutes = 5","https://service.shl.com/docs/Biotech%20Lab%20Techniques%20(New).pdf","N/A"
"4037","BizTalk (New)","Yes","No","K","Multi-choice test that measures the knowledge of BizTalk architecture, pipelines, adapters, business process techniques and BizTalk administration.","Mid-Professional, Professional Individual Contributor,","English (USA),","Approximate Completion Time in minutes = 16","https://service.shl.com/docs/BizTalk%20(New).pdf","N/A"
"244","Business Communication (adaptive)","Yes","Yes","K","This is an adaptive test that measures knowledge of communicating in the workplace. It measures the skills necessary to communicate effectively with coworkers at all levels and with external business contacts. Designed for the average business worker, this test includes the following topics: Electronic Communication, Employment Communication, Listening, Meetings, Nonverbal Communication, Verbal Communication, and Written Communication.","Entry-Level, Front Line Manager, Manager, Mid-Professional, Professional Individual Contributor,","English (USA),","Approximate Completion Time in minutes = 24","https://service.shl.com/docs/Fact%20Sheet_Business%20Communication%20(adaptive).pdf","N/A"
"536","Business Communications","Yes","No","K","This test measures the candidate's knowledge of communicating in the workplace. It measures the skills necessary to communicate effectively with coworkers at all levels and with external business contacts. Designed for the average business worker, this test includes the following topics: Electronic Communication, Employment Communication, Listening, Meetings, Nonverbal Communication, Verbal Communication, and Written Communication. This version of the test is not adaptive.","N/A","English (USA),","Approximate Completion Time in minutes = 35","https://service.shl.com/docs/Fact%20Sheet_Business_Communications.pdf","N/A"
"4038","C Programming (New)","Yes","No","K","Multi-choice test that measures the knowledge of C programming basics, functions, arrays, composed data types, and advanced C concepts like SLF, file handling and dynamic memory.","Mid-Professional, Professional Individual Contributor,","English (USA),","Approximate Completion Time in minutes = 10","https://service.shl.com/docs/C%20Programming%20(New).pdf","N/A"
"4039","C# Programming (New)","Yes","No","K","Multi-choice test that measures the knowledge of C# programming structure, functions, collections, enumeration, exception handling, OOPs constructs, inheritance, event handling and operator overloading.","Mid-Professional, Professional Individual Contributor,","English (USA),","Approximate Completion Time in minutes = 9","https://service.shl.com/docs/Csharp%20Programming%20(New).pdf","https://service.shl.com/docs/C#%20Programming%20(New)%20Sample%20Report.pdf"
"4122","C++ Programming (New)","Yes","No","K","Multi-choice test that measures the knowledge of programming in the C++ language and the ability to use the C++ standard library to write code.","Mid-Professional, Professional Individual Contributor,","English (USA),","Approximate Completion Time in minutes = 10","https://service.shl.com/docs/C%2B%2B%20Programming%20(New).pdf","N/A"
"4077","Cardiology and Diabetes Management (New)","Yes","No","K","Multi-choice test that measures the knowledge of how to control and manage cardiovascular diseases and diabetes, and understanding of the diagnostic tests used for them.","Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),","Approximate Completion Time in minutes = 4","https://service.shl.com/docs/Cardiology%20and%20Diabetes%20Management%20(New).pdf","N/A"
"4044","Ceramic Engineering (New)","Yes","No","K","Multi-choice test that measures the knowledge of classification of ceramic materials, production of ceramics and thermodynamics.","Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),","Approximate Completion Time in minutes = 12","https://service.shl.com/docs/Ceramic%20Engineering%20(New).pdf","N/A"
"4012","Chemical Engineering (New)","Yes","No","K","Multi-choice test that measures the conceptual knowledge of transport phenomena, chemical process engineering and technology, chemical process principles, stoichiometry and process calculations.","Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),","Approximate Completion Time in minutes = 13","https://service.shl.com/docs/Chemical%20Engineering%20(New).pdf","https://service.shl.com/docs/SHL%20Chemical%20Engineering%20(New)%20Sample%20Report.pdf"
"4024","Cisco AppDynamics (New)","Yes","No","K","Multi-choice test that measures the knowledge of application analytics, performance management, and AppDynamics essentials like controller UI, custom dashboard, reports and monitoring.","Mid-Professional, Professional Individual Contributor,","English (USA),","Approximate Completion Time in minutes = 9","https://service.shl.com/docs/Cisco%20AppDynamics%20(New).pdf","N/A"
"4150","Civil Engineering (New)","Yes","No","K","Multi-choice test that measures the knowledge of structural engineering, transportation engineering, surveying, geotechnical engineering and water resources engineering.","Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,","English (USA),","Approximate Completion Time in minutes = 10","https://service.shl.com/docs/Civil%20Engineering%20(New).pdf","https://service.shl.com/docs/SHL%20Civil%20Engineering%20(New)%20Sample%20Report.pdf"
"4045","Cloud Computing (New)","Yes","No","K","Multi-choice test that measures the knowledge of cloud computing concepts, cloud service models, virtualization and private clouds.","Mid-Professional, Professional Individual Contributor,","English (USA),","Approximate Completion Time in minutes = 8","https://service.shl.com/docs/Cloud%20Computing%20(New).pdf","N/A"
"4046","COBOL Programming (New)","Yes","No","K","Multi-choice test that measures the knowledge of COBOL programming fundamentals, programming structure and different types of application processing.","Mid-Professional, Professional Individual Contributor,","English (USA),","Approximate Completion Time in minutes = 10","https://service.shl.com/docs/COBOL%20Programming%20(New).pdf","N/A"
"4104","Computer Science (New)","Yes","No","K","Multi-choice test that measures the knowledge of operating system, computer architecture, DBMS and basics of computer networks and communication.","Mid-Professional, Professional Individual Contributor,","English (USA),","Approximate Completion Time in minutes = 12","https://service.shl.com/docs/Computer%20Science%20(New).pdf","https://service.shl.com/docs/SHL%20Computer%20Science%20(New)%20Sample%20Report.pdf"
"4189","Contact Center Call Simulation (New)","Yes","No","S","Simulation based test that measures the ability to handle customer concerns over a call by referring to standard process documents. It also measures typing and documentation skills.","Entry-Level,","English (USA),","Approximate Completion Time in minutes = 15","https://service.shl.com/docs/Contact%20Center%20Call%20Simulation%20(New).pdf","https://service.shl.com/docs/SampleReport_ContactCenterCallSimulation_20302142.pdf"
"4296","Conversational Multichat Simulation","Yes","No","S","This is a simulation-based test that measures the ability to handle customer concerns over multiple chats by referring to standard process documents. It provides an open-ended chat environment that assesses the candidate’s skills in a real job setting. Candidates are scored based on whether they resolved the customer’s query, the amount of time taken, and the correct use of vocabulary and grammar in their response.","N/A","English (USA),","Approximate Completion Time in minutes = 11","https://service.shl.com/docs/Conversational%20Multichat%20Simulation%20Product%20Fact%20Sheet.pdf","https://service.shl.com/docs/Conversational%20Multichat%20Simulation%20Report%20US%20English.pdf"
"4034","Core Java (Advanced Level) (New)","Yes","No","K","Multi-choice test that measures the knowledge of basic Java constructs, OOP concepts, files and exception handling, and advanced Java concepts like generics, collections, threads, strings and concurrency.","Mid-Professional, Professional Individual Contributor,","English (USA),","Approximate Completion Time in minutes = 13","https://service.shl.com/docs/Core%20Java%20(Advanced%20Level)%20(New).pdf","N/A"
"4032","Core Java (Entry Level) (New)","Yes","No","K","Multi-choice test that measures the knowledge of basic Java constructs, OOP concepts, file handling, exception handling, threads, generic class and inner class.","Mid-Professional, Professional Individual Contributor,","English (USA),","Approximate Completion Time in minutes = 13","https://service.shl.com/docs/Core%20Java%20(Entry%20Level)%20(New).pdf","N/A"
"3458","Count Out The Money","Yes","Yes","K, S","The Count out the Money –US test measures a candidate’s money handling ability. This test is designed for entry-level positions where handling money is required on a regular basis.","Entry-Level,","English (USA), English (Australia), English (Canada), English International, English (South Africa),","Approximate Completion Time in minutes = 5","https://service.shl.com/docs/Fact%20Sheet_Count%20out%20the%20Money%20-%20UK.pdf","N/A"
"4052","CSS3 (New)","Yes","No","K","Multi-choice test that measures the knowledge of CSS3 and its application in providing style to web documents.","Mid-Professional, Professional Individual Contributor,","English (USA),","Approximate Completion Time in minutes = 8","https://service.shl.com/docs/CSS3%20(New).pdf","N/A"
"4050","Culinary Skills (New)","Yes","No","K","Multi-choice test that measures the knowledge of cooking principles, cooking equipment, meal preparation and presentation, and kitchen safety.","Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,","English (USA),","Approximate Completion Time in minutes = 7","https://service.shl.com/docs/Culinary%20Skills%20(New).pdf","N/A"
"3933","Customer Service Phone Simulation","Yes","No","B, S","As part of Contact Center Simulations, the Customer Service Phone Simulation is designed for entry-level positions in a contact center environment. Sample tasks for these jobs include: verify the customer or account; take ownership of customer issues; interact with customers to provide information; respond positively to difficult, irate, or confused customers; listen attentively to callers; resolve calls in a timely manner; navigate within multiple information menus to view customer account details and process information; and type information quickly and accurately. Potential job titles that use this solution are: Call Center Representative, Contact Center Representative, Contact Center Agent, Customer Service Agent, Customer Service Representative, and Customer Advocate. ""Please note that for Simplified Chinese version the audio is available in both Mandarin and Cantonese.""","Entry-Level,","French (Canada), Portuguese (Brazil), Dutch, Italian, Spanish, French, Latin American Spanish, Chinese Simplified, English (Australia), English International, English (USA),","Approximate Completion Time in minutes = 20","https://service.shl.com/docs/Customer%20Service%20Phone%20Simulation_Fact%20Sheet.pdf","https://service.shl.com/docs/CustomerServicePhoneSimulation_DevelopmentReport_UKE.pdf"
"3931","Customer Service Phone Solution","Yes","No","B, P, S","As part of Contact Center Simulations, the Customer Service Phone Solution includes a contact center simulation and two behavioral tests designed to measure a wide range of skills, competencies, and behavioral tendencies relevant for contact center jobs. The Contact Center Simulation provides an opportunity for candidates to interact with simulated customers in a contact center environment. Designed to measure a candidate’s ability to listen attentively to the customer, take ownership of customer issues, resolve issues, navigate to find information, and enter information accurately, the Contact Center Simulation is intended to measure how a candidate will respond in a variety of customer situations and assess the candidate’s computer skills in a contact center setting. The behavioral tests in this solution are intended to measure the candidate’s learning potential and the tendency to meet goals and work hard, even when faced with obstacles. Collectively, the assessments in this solution measure a wide range of important skills, abilities, and behaviors for entry-level contact center roles. ""Please note that for Simplified Chinese version the audio is available in both Mandarin and Cantonese.""","Entry-Level,","French (Canada), Italian, French, Dutch, Spanish, Portuguese (Brazil), Chinese Simplified, English (Australia), Latin American Spanish, English (USA), English International,","Approximate Completion Time in minutes = 30","N/A","https://service.shl.com/docs/CustomerServicePhoneSolution_DevelopmentReport_UKE.pdf"
"4053","Cyber Risk (New)","Yes","No","K","Multi-choice test that measures the knowledge of cyber risk management, system and application security, network security and security management.","Manager, Mid-Professional, Professional Individual Contributor, Supervisor,","English (USA),","Approximate Completion Time in minutes = 9","https://service.shl.com/docs/Cyber%20Risk%20(New).pdf","N/A"
"4186","Data Entry (New)","Yes","No","S","Simulated data entry test that measures the ability to accurately transcribe data from pre-filled forms and the ability to verify pre-filled data.","Entry-Level,","English (USA),","Approximate Completion Time in minutes = 4","https://service.shl.com/docs/Data%20Entry%20(New).pdf","N/A"
